Chinese (Simplified),English,Category,Description,Reference,Chinese (Traditional),Korean,Japanese,Swedish,Polish,Dutch,Indonesian,Spanish,Turkish,Vietnamese,French,German,Italian,Russian,Portuguese,Thai,Malaysian,Arabic
群星之约宝箱-芮奇,Stellar Covenant Chest - Raych,Bundle,,,群星之約寶箱-芮奇,별무리의 약속 보물상자 - 레이지,星の契約BOX・レイチ,Stjärnförbundets kista – Raych,Skrzynia gwiezdnego przymierza – Raych,Stellair verbondskist - Raych,Peti Covenant Bintang - Raych,Cofre de pacto estelar: Raych,Yıldız Ahdi Sandığı - Raych,Rương Giao Ước Tinh Tú – Raych,Coffre de l'alliance stellaire - Raych,Sternenbundtruhe – Raych,Forziere Patto delle stelle - Raych,Кейс звездного завета — Рейч,Baú de Pacto Estelar - Raych,หีบสัญญาดวงดาว - เรย์ช,Peti Waad Najam - Raych,صندوق العهود النجمية - رايتش
圣火闪耀,Olympic Flame Ignites,Event,2026 冬奥活动名称 | 2026 Winter Olympic Event,,聖火閃耀,성화 점화,聖火灯る時,Olympiska elden tänds,Ogień Olimpijski Płonie,Olympische vlam ontbrandt,Api Olimpiade Menyala,Se enciende la llama olímpica,Olimpiyat Ateşi Yanıyor,Thắp Sáng Ngọn Lửa Olympic,Embrasement de la Flamme olympique,Die olympische Flamme brennt,Fiamma olimpica ardente,Олимпийский огонь,A Chama Olímpica Brilha,เพลิงโอลิมปิกลุกโชน,Api Olimpik Menyala,إشعال شعلة الأولمبياد
冬梦秘宝,Winter Dream Treasure,Item,2026 冬奥奖品 | 2026 Winter Olympic Reward,,冬夢秘寶,겨울의 꿈 비보,冬幻の秘宝,Vinterdrömskatten,Skarb zimowego snu,Winterdroomschat,Harta Karun Impian Musim Dingin,Tesoro de Ensueño invernal,Kış Rüyası Hazinesi,Kho Báu Giấc Mơ Mùa Đông,Trésor hivernal,Wintertraumschatz,Tesoro del sogno invernale,Сокровище зимней мечты,Tesouro do Sonho de Inverno,สมบัติแห่งดวงดาว,Harta Karun Impian Musim Sejuk,كنز حلم الشتاء
暖冬火炬,Warmth Torch,Item,2026 冬奥道具 | 2026 Winter Olympic Item,,暖冬火炬,따뜻한 겨울 횃불,温もりの聖火,Värmefackla,Pochodnia dająca ciepło,Warmtefakkel,Obor Kehangatan,Antorcha de calor,Sıcaklık Meşalesi,Đuốc Ấm Áp,Flambeau ardent,Fackel,Torcia della fiamma,Факел тепла,Tocha de Calor,คบเพลิงไออุ่น,Obor Kehangatan,مشعل التدفئة
暖冬宝箱,Warmth Chest,Item,2026 冬奥宝箱 | 2026 Winter Olympic Chest,,暖冬寶箱,따뜻한 겨울 보물상자,温もりのBOX,Värmekista,Skrzynia ciepła,Warmtekist,Peti Kehangatan,Cofre de calor,Sıcaklık Sandığı,Rương Ấm Áp,Coffre ardent,Flammentruhe,Forziere della fiamma,Кейс тепла,Baú de Calor,หีบไออุ่น,Peti Kehangatan,صندوق التدفئة
冰封对决,Frozen Rivalry,Decoration,2026 冬奥头像框 | 2026 Winter Olympic Frame,,冰封對決,빙결의 대결,氷結の対決,Frusen rivalitet,Mroźna rywalizacja,IJskoude rivaliteit,Frozen Rivalry,Rivalidad congelada,Donmuş Rekabet,Kình Địch Băng Giá,Rivalité glaciale,Frostiger Wettkampf,Rivalità ghiacciata,Холодная вражда,Rivalidade Gélida,การแข่งขันอันเยือกแข็ง,Persaingan Beku,التنافس المتجمد
随机超能棱晶宝箱,Random Prismatic Core Chest,Bundle,,,隨機超能晶核寶箱,랜덤 초능력 프리즘 보물상자,ランダム ハイパークリスタルBOX,Slumpkista med prismatisk kärna,Skrzynia z rdzeniem pryzmatycznym,Kist met willekeurige prismatische kernen,Peti Inti Prismatic Acak,Cofre de núcleos prismáticos aleatorios,Rastgele Prizmatik Çekirdek Sandığı,Rương Lõi Tán Sắc Ngẫu Nhiên,Coffre de noyaux prismatique (aléatoire),Zufällige Prismakern-Truhe,Forziere nucleo prismatico casuale,Случайный кейс призматических ядер,Baú de Núcleo Prismático Aleatório,หีบแกนปริซึมแบบสุ่ม,Peti Teras Prisma Rawak,صندوق الأنوية الموشورية العشوائي
阿祖拉·欧蒂利,Azura Odili,,"Azura Odili is a gardener working in the Imperial Gardens. Her father was an agroecologist and her mother opened a school for the ikebana, and Azura had been working in the Imperial Palace since the age of thirteen.",,阿祖拉·歐蒂利,아주라·오딜리,アズーラ・オディリ,Azura Odili,Azura Odili,Azura Odili,Azura Odili,Azura Odili,Azura Odili,Azura Odili,Azura Odili,Azura Odili,Azura Odili,Азура Одили,Azura Odili,อาซูร่า โอดิลี,Azura Odili,أزورا أوديلي
宇宙聊天频道,Space Chat channel,,,,宇宙聊天頻道,우주 채팅 채널,スペースチャット,Rymdchattkanal,Kanał czatu kosmosu,Ruimtechatkanaal,Kanal Obrolan Ruang Angkasa,canal de chat del espacio,Uzay Sohbet Kanalı,Kênh Trò Chuyện Vũ Trụ,Canal de chat spatial,Weltraum-Chat,Canale di chat spaziale,канал космического чата,Canal de Chat Espacial,ช่องแชทอวกาศ,Saluran Sembang Alam Semesta,قناة دردشة الفضاء
拉斯·雷诺,Lars Reno,,,,拉斯·雷諾,라스·레이노,ラース・レノ,Lars Reno,Lars Reno,Lars Reno,Lars Reno,Lars Reno,Lars Reno,Lars Reno,Lars Reno,Lars Reno,Lars Reno,Ларс Рено,Lars Reno,ลาร์ส เรโน,Lars Reno,لارس رينو
征缴船,Tithe Collectors,,怪物名 | Monster Name,,徵繳船,징수함,徴収艦,Skattmas,Poborcy podatkowi,Belastinginners,Kolektor Tithe,recaudadores de diezmos,Haraç Tahsildarları,Người Thu Thuế Thập Phân,Percepteurs de dîme,Tributsammler,Esattori della Decima,сборщики десятины,Coletores de Dízimo,เจ้าหน้าที่เก็บภาษี,Pengumpul Kutipan,جامعو العُشور
“砰啪嗒”游乐场,Boom-Bang Bot Bash,,活动场景 | Event Ground,,「砰啪嗒」遊樂場,뿅뿅' 놀이공원,パンパパ・パーク,Bang-Bom Robotbank,Robo-łomot,Boem-knal-botbeukerij,Pesta Bot Boom-Bang,Torneo Demoledor de Robots,Güm-Büm Bot Pataklamacası,Đập Bot Tưng Bừng,Robots qui font boum,"Kabumm, Roboter!",Boom-Bang Bot Bash,Бомбардировка ботов,Esmaga-robôs Bum-Bang,ตูมตามฟาดหุ่นยนต์,Boom-Bang Bot Bash,انفجار الروبوتات
礼物机器人,gift bots,,活动怪物 | Event Monster,,禮物機器人,선물 로봇,プレゼントロボ,Presentrobot,roboty z prezentami,geschenkbots,bot hadiah,robots de regalo,hediye botları,rô-bốt quà tặng,robots cadeaux,Geschenkroboter,bot regalo,подарочные боты,robôs-presente,หุ่นยนต์ของขวัญ,bot hadiah,روبوتات الهدايا
星际彩蛋,Interstellar Egg,,活动道具 | Event Item,,星際彩蛋,은하 이스터에그,スターエッグ,Kosmiskt ägg,Jajko międzygwiezdne,Interstellair ei,Telur Antarbintang,Huevo interestelar,Yıldızlararası Yumurta,Trứng Liên Sao,Œuf interstellaire,Weltraumei,Uovo interstellare,межзвездное яйцо,Ovo Interestelar,ไข่อวกาศ,Telur Antara Bintang,البيضة بين النجوم
经济与发展,Economy & Development,,科技线名称,,經濟與發展,경제와 발전,経済&開発,Ekonomi och utveckling,Ekonomia i rozwój,Economie & ontwikkeling,Ekonomi & Pengembangan,Economía y desarrollo,Ekonomi ve Gelişim,Kinh Tế & Phát Triển,Économie & Développement,Wirtschaft & Entwicklung,Economia e sviluppo,Экономика и прокачка,Economia & Desenvolvimento,เศรษฐกิจและการพัฒนา,Ekonomi & Pembangunan,الاقتصاد والتطوير
旗舰与战机,Flagships & Combat Craft,,科技线名称,,旗艦與戰艦,군함과 전투기,旗艦&戦闘機,Flaggskepp och stridsfarkoster,Okręty flagowe i statki bojowe,Vlaggenschepen & gevechtsschepen,Flagship & Pesawat Tempur,Naves insignia y naves de combate,Amiral Gemileri ve Savaş Gemileri,Soái Hạm & Chiến Hạm,Vaisseaux amiraux & Vaisseaux de combat,Flaggschiffe und Kampfschiffe,Ammiraglie e navicelle da combattimento,Флагманы и истребители,Naus Capitânias e Veículos de Combate,ยานเรือธงและยานรบ,Kapal Laksamana & Pesawat Tempur,سفن القيادة والمركبات القتالية
战机改造,Combat Craft Modification,,科技线名称,,戰艦改造,전투기 개조,戦闘機カスタム,Modifikation av stridsfarkoster,Modyfikacja statku bojowego,Gevechtsschipmodificatie,Modifikasi Pesawat Tempur,Modificación de nave de combate,Savaş Gemisi Modifikasyonu,Điều Chỉnh Chiến Hạm,Vaisseaux de combat - Modification,Kampfschiff-Modifizierung,Modifica delle navicelle da combattimento,Модификация истребителя,Modificação do Veículo de Combate,การปรับเปลี่ยนยานรบ,Pengubahsuaian Pesawat Tempur,تعديل المركبة القتالية
战车,Warframe,,动能T7战机名称,,戰車,전차,ウォーフレーム,Krigsram,Maszyna wojenna,Warframe,Warframe,Warframe,Savaş Formu,Tàu Chiến,Le Conquérant,Streitwagen,Warframe,Боевая птица,Warframe,วอร์เฟรม,Sut perang,وارفريم
正义,Justicar,,光束T7战机名称,,正義,정의,ジャスティカー,Rättskipare,Sędzia,Justitiarius,Justicar,Justicar,Yargıç,Chính Nghĩa,Le Justicier,Justicia,Giustiziere,Вершитель судеб,Justicar,จัสติคาร์,Justicar,قاضي الحرب
隐者,Hermit,,离子T7战机名称,,隱者,은둔자,ハーミット,Eremit,Pustelnik,Hermit,Pertapa,Ermitaño,Münzevi,Ẩn Sĩ,L'Hermite,Eremit,Eremita,Отшельник,Hermit,เฮอร์มิท,Pertapa,الناسك
锁头飞弹,Lock-On Missiles,,PVP属性,,鎖頭飛彈,유도 탄두,ロックオンミサイル,Målsökande missiler,Pociski samonaprowadzające,Doelzoekende raketten,Misil Pengunci,Misiles de bloqueo,Güdümlü Füzeler,Tên Lửa Khóa Mục Tiêu,Missiles verrouillés,Zielraketen,Missili lock-on,Наводящиеся ракеты,Mísseis de Travamento,มิสไซล์ล็อกเป้า,Misil Berpandu,الصواريخ الموجهة
五米级口径,5m Caliber,,PVP属性,,五米級口徑,5m 포구,5m級キャリバー,Kaliber 5m,Kaliber 5 m,5m kaliber,Kaliber 5m,Calibre de 5 m,5m Kalibreli,Cỡ Nòng 5 Mét,Calibre de 5m,5er-Kaliber,Calibro 5 m,Калибр 5 мм,Calibre 5m,กระสุน 5 ม.,Kaliber 5 meter,عيار 5 م
自动反导,Auto Interceptor,,PVP属性,,自動反導,자동 반격,オート迎撃,Auto-genskjutare,Automatyczne przechwytywanie,Automatische onderscheppingsjager,Pencegat Otomatis,Interceptor automático,Otomatik Önleyici,Thiết Bị Chặn Tự Động,Intercepteur auto,Automatisches Abfangen,Intercettatore automatico,Автоперехватчик,Interceptor Automático,เครื่องสกัดกั้นอัตโนมัติ,Pemintas Automatik,المعترض التلقائي
火力改装,Weapon Modification,,T7战机攻击,,火力改造,화력 개조,火力改造,Vapenmodifikation,Modyfikacja broni,Wapenmodificatie,Modifikasi Senjata,Modificación de arma,Silah Modifikasyonu,Điều Chỉnh Vũ Khí,Modification de l'armement,Waffenmodifkation,Modifica dell'arma,модификация оружия,Modificação de Armamento,การปรับเปลี่ยนอาวุธ,Pengubahsuaian Senjata,تعديل الأسلحة
装甲改装,Armor Modification,,T7战机防御,,裝甲改造,아머 개조,装甲改造,Pansarmodifikation,Modyfikacja pancerza,Pantsermodificatie,Modifikasi Armor,Modificación de blindaje,Zırh Modifikasyonu,Điều Chỉnh Giáp,Modification du blindage,Panzerungsmodifkation,Modifica dell'armatura,модификация обшивки,Modificação de Armadura,การปรับเปลี่ยนเกราะ,Pengubahsuaian Perisai,تعديل الدروع
智能改装,INT Modification,,T7战机智能,,智能改造,지능 개조,知力改造,INT-modifikation,Modyfikacja ZW,INT-modificatie,Modifikasi INT,Modificación de INT,Zekâ Modifikasyonu,Điều Chỉnh Trí Lực,Modification de l'INT,INT-Modifikation,Modifica dell'INT,модификация ИНТ,Modificação da INT,การปรับเปลี่ยน INT,Pengubahsuaian Kepintaran,تعديل الذكاء
船体改装,Hull Modification,,T7战机生命,,船體改造,선체 개조,船体改造,Skrovmodifikation,Modyfikacja kadłuba,Rompmodificatie,Modifikasi Hull,Modificación de casco,Gövde Modifikasyonu,Cải Tạo Thân Tàu,Modification de la coque,Rumpfmodifikation,Modifica dello scafo,Модификация корпуса,Modificação do Casco,การปรับเปลี่ยนตัวยาน,Pengubahsuaian Badan Kapal,تعديل الهيكل
算力元件,Computational Component,,科技芯片道具名称,,算力元件,연산 부품,演算チップ,Uträkningskomponent,Komponent obliczeniowy,Rekencomponent,Komponen Komputasi,Componente de computación,Hesaplama Bileşeni,Bộ Phận Tính Toán,Composant informatique,Rechenkomponente,Componente computazionale,Вычислительный компонент,Componente Computacional,ชิ้นส่วนคอมพิวเตอร์,Komponen Pengiraan,المكوّن الحاسوبي
赞助排行榜,Sponsorship Leaderboard,,展示购买了付费礼包后贡献联盟礼包的人,,贊助排行榜,후원 랭킹,スポンサーランキングランキング,Topplista för sponsorskap,Ranking sponsorów,Sponsorklassement,Papan Peringkat Sponsor,Marcador de patrocinios,Destek Liderlik Tablosu,Bảng Xếp Hạng Tài Trợ,Classement des sponsors,Sponsoring-Bestenliste,Classifica delle sponsorizzazioni,Таблица лидеров спонсорства,Classificação de Patrocínio,กระดานผู้นำการสนับสนุน,Carta Kedudukan Tajaan,لوحة المتصدرين للرعاية
危机博弈,Crisis Gambit,,限定船员抽奖,,危機博弈,위기 전략,クライシスギャンビット,Krischansning,Kryzysowy Gambit,Crisismanoeuvre,Gambit Krisis,Jugada Crítica,Kriz Oyunu,Ván Cược Khủng Hoảng,Jeu de crise,Hoffnung in der Krise,Crisi strategica,Кризисный гамбит,Estratagema de Crise,เดิมพันขั้นวิกฤต,Permulaan Krisis,مناورة الأزمة
无界战域,Boundless Warzone,,,,無界戰域,경계 없는 전장,無限戦域,Gränslös krigszon,Bezkresna Strefa Wojny,Grenzeloze oorlogszone,Boundless Warzone,Zona de Guerra sin Límites,Sınırsız Savaş Alanı,Chiến Trường Vô Biên,Zone de guerre infinie,Grenzenlose Kriegszone,Zona di guerra sconfinata,Безграничная военная зона,Zona de Guerra Sem Limites,เขตสงครามไร้พรมแดน,Zon Perang Tanpa Batas,ساحة الحرب اللامحدودة
格蕾丝,Grace,,蓝色学者船员名字,,格蕾絲,그레이스,グレース,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Grace,Грейс,Grace,เกรซ,Grace,غريس
伊桑,Ethan,,蓝色冶炼工船员名字,,伊桑,이산,イーサン,Ethan,Ethan,Ethan,Ethan,Ethan,Ethan,Ethan,Ethan,Ethan,Ethan,Итан,Ethan,อีธาน,Ethan,إيثان
劳尔,Rael,,蓝色营养师船员名字,,勞爾,라울,ラエル,Rael,Rael,Rael,Rael,Rael,Rael,Rael,Rael,Rael,Rael,Раэль,Rael,เรเอล,Rael,رايل
桑德拉,Saundra,,紫色工程师2船员名字,,桑德拉,산드라,サンドラ,Saundra,Saundra,Saundra,Saundra,Saundrai,Saundra,Saundra,Saundra,Saundra,Saundra,Сондра,Saundra,ซอนดรา,Saundra,سوندرا
亚当,Adam,,紫色工程师3船员名字,,亞當,아담,アダム,Adam,Adam,Adam,Adam,Adam,Adam,Adam,Adam,Adam,Adam,Адам,Adam,อดัม,Adam,آدم
基奥娜,Kiona,,紫色冶炼工船员名字,,基奧娜,기오나,キオナ,Kiona,Kiona,Kiona,Kiona,Kiona,Kiona,Kiona,Kiona,Kiona,Kiona,Киона,Kiona,คิโอนา,Kiona,كيونا
杨,Yon,,紫色仓管船员名字,,楊,양,ヨン,Yon,Yon,Yon,Yon,Yon,Yon,Yon,Yon,Yon,Yon,Йон,Yon,ยอน,Yon,يون
罗伯特,Robb,,橙色工程师1船员名字,,羅伯特,로버트,ロバート,Robb,Robb,Robb,Robb,Robb,Robb,Robb,Robb,Robb,Robb,Робб,Robb,ร็อบบ์,Robb,روب
泰沙,Taesha,,橙色工程师2船员名字,,泰莎,테샤,ティーシャ,Taesha,Taesha,Taesha,Taesha,Taesha,Taesha,Taesha,Taesha,Taesha,Taesha,Таэша,Taesha,เทชา,Taesha,تايشا
扎亚,Zayah,,橙色工程师3船员名字,,扎婭,자야,ゼイア,Zayah,Zayah,Zayah,Zayah,Zayah,Zayah,Zayah,Zayah,Zayah,Zayah,Зейа,Zayah,ซาย่าห์,Zayah,زايا
